,Class,Total distance [yd],Distance / min [yd/min],Maximum speed [mph],Average speed [mph],Sprints,Distance in Speed zone 2 [yd] (0.10 - 2.59 mph),Distance in Speed zone 3 [yd] (2.60 - 5.13 mph),Distance in Speed zone 4 [yd] (5.14 - 8.38 mph),Distance in Speed zone 5 [yd] (8.39- mph),Number of accelerations (-50.00 - -3.00 m/s),Number of accelerations (-2.99 - -2.00 m/s),Number of accelerations (-1.99 - -1.00 m/s),Number of accelerations (-0.99 - -0.50 m/s),Number of accelerations (0.50 - 0.99 m/s),Number of accelerations (1.00 - 1.99 m/s),Number of accelerations (2.00 - 2.99 m/s),Number of accelerations (3.00 - 50.00 m/s),Min Played,Total accelerations
89,Defender,2580,13,15.0,0.5,0.125,0.3244186046511628,0.31589147286821706,0.26085271317829456,0.09573643410852713,0.002036659877800407,0.024439918533604887,0.12627291242362526,0.40427698574338083,0.29327902240325865,0.12219959266802444,0.026476578411405296,0.0010183299389002036,16,982.0
90,Midfielder,14136,72,17.0,2.6,0.32926829268292684,0.14141199773627616,0.36552065647990944,0.2985993208828523,0.1941143180531975,0.010984699882306787,0.03060023538642605,0.16673205178501374,0.30482542173401334,0.2895253040408003,0.14829344841114162,0.04236955668889761,0.006669282071400549,82,2549.0
91,Defender,14931,76,18.4,2.8,0.11428571428571428,0.16777175005023107,0.36233340030808386,0.3291139240506329,0.14051302658897596,0.004267425320056899,0.031294452347083924,0.15967283072546232,0.32503556187766713,0.2894736842105263,0.15753911806543386,0.030227596017069702,0.0024893314366998577,105,2812.0
92,Defender,16367,84,17.9,3.1,0.17142857142857143,0.12464104600720963,0.3200953137410643,0.3557768680882263,0.1993645750595711,0.0029135642602784073,0.026869537067011978,0.16639689219812237,0.3201683392683716,0.28067335707348656,0.17319520880543865,0.027193266429265135,0.002589834898025251,105,3089.0
94,Midfielder,9764,50,17.4,1.8,0.2765957446808511,0.15915608357230643,0.27417042195821384,0.3424825891028267,0.22378123719786971,0.011235955056179775,0.03957010258915486,0.15779189057156814,0.31998045920859797,0.2730825598436737,0.15681485100146556,0.03859306301905227,0.0029311187103077674,47,2047.0
95,Forward,4189,21,16.8,0.8,0.3076923076923077,0.3110527572212939,0.34709954643112917,0.21007400334208642,0.12986392933874433,0.004548408057179987,0.022742040285899934,0.11630929174788823,0.4015594541910331,0.3235867446393762,0.10721247563352826,0.022092267706302793,0.001949317738791423,13,1539.0
96,Midfielder,9231,47,14.5,1.8,0.2222222222222222,0.1449463763405915,0.27515978767197485,0.3676741414797963,0.2116780413822988,0.008947368421052631,0.041578947368421056,0.16210526315789472,0.30736842105263157,0.2694736842105263,0.1668421052631579,0.04105263157894737,0.002631578947368421,45,1900.0
97,Defender,8818,45,18.0,1.7,0.4117647058823529,0.18246767974597414,0.321161261056929,0.32138806985711044,0.1740757541392606,0.004990925589836661,0.03402903811252268,0.1569872958257713,0.32667876588021777,0.2881125226860254,0.1483666061705989,0.034482758620689655,0.006352087114337568,51,2204.0
98,Midfielder,13319,68,16.5,2.9,0.16666666666666666,0.11787671747128163,0.31691568436068773,0.3527291838726631,0.21225317216007208,0.010075566750629723,0.03736356003358522,0.1834592779177162,0.28547439126784213,0.2699412258606213,0.16204869857262805,0.04785894206549118,0.003778337531486146,96,2382.0
100,Midfielder,14680,75,16.5,2.8,0.3870967741935484,0.14182561307901909,0.3140326975476839,0.33201634877384195,0.21171662125340598,0.011246200607902736,0.04072948328267477,0.1662613981762918,0.2899696048632219,0.2796352583586626,0.16231003039513678,0.04376899696048632,0.0060790273556231,93,3290.0
101,Midfielder,2785,14,12.9,0.5,0.02857142857142857,0.3443447037701975,0.27504488330341115,0.2725314183123878,0.1059245960502693,0.000968054211035818,0.021297192642787996,0.14230396902226525,0.37463697967086157,0.3155856727976767,0.12391093901258471,0.01936108422071636,0.001936108422071636,105,1033.0
102,Defender,5441,28,15.0,1.1,0.6666666666666666,0.2602462782576732,0.2883661091711083,0.3313729093916559,0.11872817496783679,0.00411522633744856,0.024691358024691357,0.13717421124828533,0.3710562414266118,0.3004115226337449,0.1337448559670782,0.02400548696844993,0.004801097393689987,15,1458.0
103,Defender,14530,74,16.3,2.7,0.18055555555555555,0.18513420509291123,0.31768754301445284,0.33516861665519615,0.16159669649002065,0.004051316677920324,0.03241053342336259,0.17116812964213368,0.31330182309250504,0.29034436191762325,0.1600270087778528,0.025658338960162053,0.003038487508440243,72,2962.0
104,Midfielder,3112,16,12.9,0.6,0.0,0.3396529562982005,0.3004498714652956,0.25482005141388175,0.10218508997429306,0.0017777777777777779,0.022222222222222223,0.12711111111111112,0.38666666666666666,0.336,0.1111111111111111,0.015111111111111112,0.0,105,1125.0
106,Forward,15281,94,22.4,3.3,0.2976190476190476,0.1015640337674236,0.2622864995746352,0.3666644853085531,0.2693540998625744,0.006846188954815153,0.048379735280693746,0.1775445002282063,0.2893655864901871,0.24418073938840712,0.1811958010041077,0.04701049748973072,0.005476951163852123,84,2191.0
108,Forward,12288,76,17.6,2.7,0.3068181818181818,0.156494140625,0.3056640625,0.3306477864583333,0.20686848958333334,0.014946286781877626,0.0425035030359645,0.1489957963568426,0.3194768799626343,0.2643624474544605,0.1489957963568426,0.051377860812704346,0.009341429238673517,88,2141.0
109,Defender,4672,29,16.0,1.0,0.5833333333333334,0.22538527397260275,0.2876712328767123,0.3086472602739726,0.17701198630136986,0.007159904534606206,0.031821797931583136,0.1726332537788385,0.3198090692124105,0.27844073190135243,0.15592680986475735,0.03261734287987271,0.0015910898965791568,12,1257.0
111,Midfielder,12510,77,18.9,2.9,0.2804878048780488,0.13541167066346924,0.34972022382094325,0.35083932853717026,0.16378896882494004,0.008234688625836336,0.03654143077714874,0.1487390633041688,0.33453422542460115,0.2655687081832218,0.15851775604734947,0.040658775090066906,0.007205352547606794,82,1943.0
112,Defender,12983,80,17.2,2.8,0.06666666666666667,0.17730878841562042,0.31749210506046366,0.3782638835400139,0.12655010398213049,0.0052231718898385565,0.029439696106362774,0.16191832858499525,0.3148148148148148,0.30151946818613484,0.15716999050332384,0.02801519468186135,0.001899335232668566,90,2106.0
113,Defender,12007,74,16.6,2.7,0.12307692307692308,0.11651536603647872,0.27858749063046556,0.39726826018156075,0.20737902889980844,0.004734848484848485,0.029356060606060608,0.171875,0.3068181818181818,0.2916666666666667,0.1699810606060606,0.02225378787878788,0.0033143939393939395,65,2112.0
115,Forward,3226,20,15.7,0.7,1.0,0.29603223806571605,0.2644141351518909,0.3161810291382517,0.12213267203967762,0.004162330905306972,0.018730489073881373,0.14568158168574402,0.3631633714880333,0.3048907388137357,0.1404786680541103,0.022892819979188347,0.0,2,961.0
